class,count,split
ADONIS,126,train
AFRICAN GIANT SWALLOWTAIL,107,train
AMERICAN SNOOT,105,train
AN 88,121,train
APPOLLO,128,train
ARCIGERA FLOWER MOTH,140,train
ATALA,143,train
ATLAS MOTH,129,train
BANDED ORANGE HELICONIAN,139,train
BANDED PEACOCK,118,train
BANDED TIGER MOTH,136,train
BECKERS WHITE,116,train
BIRD CHERRY ERMINE MOTH,133,train
BLACK HAIRSTREAK,121,train
BLUE MORPHO,107,train
BLUE SPOTTED CROW,123,train
BROOKES BIRDWING,165,train
BROWN ARGUS,169,train
BROWN SIPROETA,140,train
CABBAGE WHITE,127,train
CAIRNS BIRDWING,117,train
CHALK HILL BLUE,149,train
CHECQUERED SKIPPER,136,train
CHESTNUT,122,train
CINNABAR MOTH,131,train
CLEARWING MOTH,122,train
CLEOPATRA,133,train
CLODIUS PARNASSIAN,122,train
CLOUDED SULPHUR,128,train
COMET MOTH,105,train
COMMON BANDED AWL,123,train
COMMON WOOD-NYMPH,128,train
COPPER TAIL,133,train
CRECENT,138,train
CRIMSON PATCH,103,train
DANAID EGGFLY,135,train
EASTERN COMA,132,train
EASTERN DAPPLE WHITE,132,train
EASTERN PINE ELFIN,136,train
ELBOWED PIERROT,117,train
EMPEROR GUM MOTH,136,train
GARDEN TIGER MOTH,131,train
GIANT LEOPARD MOTH,129,train
GLITTERING SAPPHIRE,130,train
GOLD BANDED,104,train
GREAT EGGFLY,105,train
GREAT JAY,135,train
GREEN CELLED CATTLEHEART,126,train
GREEN HAIRSTREAK,176,train
GREY HAIRSTREAK,123,train
HERCULES MOTH,137,train
HUMMING BIRD HAWK MOTH,143,train
INDRA SWALLOW,115,train
IO MOTH,120,train
Iphiclus sister,134,train
JULIA,115,train
LARGE MARBLE,116,train
LUNA MOTH,117,train
MADAGASCAN SUNSET MOTH,123,train
MALACHITE,103,train
MANGROVE SKIPPER,125,train
MESTRA,120,train
METALMARK,108,train
MILBERTS TORTOISESHELL,137,train
MONARCH,128,train
MOURNING CLOAK,187,train
OLEANDER HAWK MOTH,132,train
ORANGE OAKLEAF,125,train
ORANGE TIP,137,train
ORCHARD SWALLOW,109,train
PAINTED LADY,111,train
PAPER KITE,129,train
PEACOCK,120,train
PINE WHITE,123,train
PIPEVINE SWALLOW,119,train
