class_name,samples,correct,accuracy
ADONIS,5,4,80.0
AFRICAN GIANT SWALLOWTAIL,5,5,100.0
AMERICAN SNOOT,5,4,80.0
AN 88,5,5,100.0
APPOLLO,5,5,100.0
ARCIGERA FLOWER MOTH,5,5,100.0
ATALA,5,5,100.0
ATLAS MOTH,5,4,80.0
BANDED ORANGE HELICONIAN,5,5,100.0
BANDED PEACOCK,5,5,100.0
BANDED TIGER MOTH,5,5,100.0
BECKERS WHITE,5,5,100.0
BIRD CHERRY ERMINE MOTH,5,4,80.0
BLACK HAIRSTREAK,5,5,100.0
BLUE MORPHO,5,4,80.0
BLUE SPOTTED CROW,5,5,100.0
BROOKES BIRDWING,5,5,100.0
BROWN ARGUS,5,5,100.0
BROWN SIPROETA,5,5,100.0
CABBAGE WHITE,5,5,100.0
CAIRNS BIRDWING,5,5,100.0
CHALK HILL BLUE,5,5,100.0
CHECQUERED SKIPPER,5,5,100.0
CHESTNUT,5,5,100.0
CINNABAR MOTH,5,5,100.0
CLEARWING MOTH,5,5,100.0
CLEOPATRA,5,3,60.0
CLODIUS PARNASSIAN,5,5,100.0
CLOUDED SULPHUR,5,5,100.0
COMET MOTH,5,5,100.0
COMMON BANDED AWL,5,5,100.0
COMMON WOOD-NYMPH,5,5,100.0
COPPER TAIL,5,4,80.0
CRECENT,5,4,80.0
CRIMSON PATCH,5,5,100.0
DANAID EGGFLY,5,3,60.0
EASTERN COMA,5,5,100.0
EASTERN DAPPLE WHITE,5,4,80.0
EASTERN PINE ELFIN,5,5,100.0
ELBOWED PIERROT,5,5,100.0
EMPEROR GUM MOTH,5,5,100.0
GARDEN TIGER MOTH,5,5,100.0
GIANT LEOPARD MOTH,5,5,100.0
GLITTERING SAPPHIRE,5,5,100.0
GOLD BANDED,5,5,100.0
GREAT EGGFLY,5,4,80.0
GREAT JAY,5,5,100.0
GREEN CELLED CATTLEHEART,5,5,100.0
GREEN HAIRSTREAK,5,5,100.0
GREY HAIRSTREAK,5,5,100.0
HERCULES MOTH,5,5,100.0
HUMMING BIRD HAWK MOTH,5,5,100.0
INDRA SWALLOW,5,5,100.0
IO MOTH,5,5,100.0
Iphiclus sister,5,5,100.0
JULIA,5,5,100.0
LARGE MARBLE,5,4,80.0
LUNA MOTH,5,5,100.0
MADAGASCAN SUNSET MOTH,5,5,100.0
MALACHITE,5,5,100.0
MANGROVE SKIPPER,5,5,100.0
MESTRA,5,4,80.0
METALMARK,5,5,100.0
MILBERTS TORTOISESHELL,5,4,80.0
MONARCH,5,5,100.0
MOURNING CLOAK,5,5,100.0
OLEANDER HAWK MOTH,5,5,100.0
ORANGE OAKLEAF,5,5,100.0
ORANGE TIP,5,5,100.0
ORCHARD SWALLOW,5,5,100.0
PAINTED LADY,5,5,100.0
PAPER KITE,5,5,100.0
PEACOCK,5,5,100.0
PINE WHITE,5,5,100.0
PIPEVINE SWALLOW,5,5,100.0
POLYPHEMUS MOTH,5,5,100.0
POPINJAY,5,5,100.0
PURPLE HAIRSTREAK,5,5,100.0
PURPLISH COPPER,5,5,100.0
QUESTION MARK,5,5,100.0
RED ADMIRAL,5,5,100.0
RED CRACKER,5,5,100.0
RED POSTMAN,5,5,100.0
RED SPOTTED PURPLE,5,5,100.0
ROSY MAPLE MOTH,5,5,100.0
SCARCE SWALLOW,5,5,100.0
SILVER SPOT SKIPPER,5,5,100.0
SIXSPOT BURNET MOTH,5,5,100.0
SLEEPY ORANGE,5,3,60.0
SOOTYWING,5,5,100.0
SOUTHERN DOGFACE,5,5,100.0
STRAITED QUEEN,5,5,100.0
TROPICAL LEAFWING,5,5,100.0
TWO BARRED FLASHER,5,5,100.0
ULYSES,5,4,80.0
VICEROY,5,5,100.0
WHITE LINED SPHINX MOTH,5,5,100.0
WOOD SATYR,5,5,100.0
YELLOW SWALLOW TAIL,5,4,80.0
ZEBRA LONG WING,5,5,100.0
